counter	outwr	changereader	currentreader	c1ftsfrden	ftsfrden	ftsfwren	changewriter	currentwriter	threadid	state	pc	rdaddr	rdatac	rdatah	rdatal	wrten	wraddr	wdatac	wdatah	wdatal
 f3	0	0	1	0	0	0	0	0	2	2	0c	e3	ff	0002001f	000000f6	0	e3	00	00000000	00000000
 f4	0	0	1	0	0	0	0	0	3	0	13	e3	ff	0002001f	000000f6	0	e3	00	00000000	00000000
 f5	0	0	1	0	0	0	0	0	3	2	1a	e3	ff	0002001f	000000f6	0	e3	00	00000000	00000000
 f6	0	0	1	0	0	0	0	0	2	0	00	e3	ff	0002001f	000000f6	0	e3	00	00000000	00000000
 f7	0	0	1	0	0	0	0	0	2	2	06	e3	ff	0002001f	000000f6	0	e3	00	00000000	00000000
 f8	0	0	1	0	0	0	0	0	3	0	0d	e3	ff	0002001f	000000f6	0	e3	00	00000000	00000000
 f9	0	0	1	0	0	0	0	0	3	2	14	e3	ff	0002001f	000000f6	0	e3	00	00000000	00000000
 fa	0	0	1	0	0	0	0	0	2	0	01	e3	ff	0002001f	000000f6	0	e3	00	00000000	00000000
 fb	0	0	1	0	0	0	0	0	2	2	07	e3	ff	0002001f	000000f6	0	e3	00	00000000	00000000
 fc	0	0	1	0	0	0	0	0	3	0	0e	e3	ff	0002001f	000000f6	0	e3	00	00000000	00000000
 fd	0	0	1	0	0	0	0	0	3	2	15	e3	ff	0002001f	000000f6	0	e3	00	00000000	00000000
 fe	0	0	1	0	0	0	0	0	2	0	02	e3	ff	0002001f	000000f6	0	e3	00	00000000	00000000
 ff	0	0	1	0	0	0	0	0	2	2	08	e3	ff	0002001f	000000f6	0	e3	00	00000000	00000000
