counter	outwr	changereader	currentreader	c0ftsfrden	ftsfrden	ftsfwren	changewriter	currentwriter	threadid	state	pc	rdaddr	rdatac	rdatah	rdatal	wrten	wraddr	wdatac	wdatah	wdatal
 f2	0	0	2	0	0	0	0	1	1	2	15	0d	ff	0008001f	000200f6	0	0d	00	00000000	00000000
 f3	0	0	2	0	0	0	0	1	0	0	01	0d	ff	0008001f	000200f6	0	0d	00	00000000	00000000
 f4	0	0	2	0	0	0	0	1	0	2	08	0d	ff	0008001f	000200f6	0	0d	00	00000000	00000000
 f5	0	0	2	0	0	0	0	1	1	0	0f	0d	ff	0008001f	000200f6	0	0d	00	00000000	00000000
 f6	0	0	2	0	0	0	0	1	1	2	16	0d	ff	0008001f	000200f6	0	0d	00	00000000	00000000
 f7	0	0	2	0	0	0	0	1	0	0	02	0d	ff	0008001f	000200f6	0	0d	00	00000000	00000000
 f8	0	0	2	0	0	0	0	1	0	2	09	0d	ff	0008001f	000200f6	0	0d	00	00000000	00000000
 f9	0	0	2	0	0	0	0	1	1	0	10	0d	ff	0008001f	000200f6	0	0d	00	00000000	00000000
 fa	0	0	2	0	0	0	0	1	1	2	17	0d	ff	0008001f	000200f6	0	0d	00	00000000	00000000
 fb	0	0	2	0	0	0	0	1	0	0	00	0d	ff	0008001f	000200f6	0	0d	00	00000000	00000000
 fc	0	0	2	0	0	0	0	1	0	2	0a	0d	ff	0008001f	000200f6	0	0d	00	00000000	00000000
 fd	0	0	2	0	0	0	0	1	1	0	11	0d	ff	0008001f	000200f6	0	0d	00	00000000	00000000
 fe	0	0	2	0	0	0	0	1	1	2	18	0d	ff	0008001f	000200f6	0	0d	00	00000000	00000000
 ff	0	0	2	0	0	0	0	1	0	0	01	0d	ff	0008001f	000200f6	0	0d	00	00000000	00000000
